éÌóﬁ,Xç¿ïW,Yç¿ïW,Xà⁄ìÆó ,Yà⁄ìÆó ,Zà⁄ìÆó ,å¸Ç´,R,G,B,A,â°îºïù,ècîºïù,ëŒäpê¸1,ëŒäpê¸2,äpìx1,äpìx2
2,500,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,570,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,640,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,710,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,780,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,850,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,920,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,990,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1060,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1130,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1200,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1270,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1340,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1410,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
3,1480,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
5,360,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,290,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,220,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,150,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,80,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
2,10,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
